,news_content,impact_type
44,"In China, DIDICHUXING has established a joint venture last year and has started a rental business for drivers.",Neutral
45,"The future demands the creation of a new business model using Autono-MaaS vehicles, which includes the option for autonomous driving capabilities.",Neutral
46,"The future demands the creation of a new business model using Autono-MaaS vehicles, which allows for autonomous driving capabilities.",Neutral
47,"Developing a new business model using Autono-MaaS vehicles, which includes the option for autonomous driving capabilities, is essential in the future.",Neutral
48,"In the future, it is necessary to build a new business model using MaaS vehicles (Autono-MaaS), which has the addition of autonomous driving functions.",Neutral
49,The development of three dedicated vehicles that combine electronization is being worked on in an early stage.,Neutral
50,We are presently engaged in the process of developing three distinct vehicles that combine electronization for initial use.,Neutral
51,We are presently engaged in the process of developing three distinct vehicles that combine electronization for early introduction.,Neutral
52,We are working on development for early introduction of three dedicated vehicles that combine electronization.,Neutral
53,"In order to improve the true competitiveness, we are working to thoroughly refine our DNA and TPS, which our predecessors have inherited as strengths.",Not Available
54,"Looking at ""cost"" is to see ""action"".",Not Available
55,"Each person scrutinizes all actions, from daily work to each project, and reviews what is ""wasteful"" with overall power.",Not Available
56,"In the future, we will continue to work on participating in 100 % and improving quality.",Not Available
57,"We believe that it is important to return to the starting point of ""Toyota -like"", which has reached a very leather era every 100 years.",Not Available
58,We will view transformation as an opportunity to transform the mindset of all employees and executives.,Neutral
59,We will view transformation as an opportunity to alter the mindset of all employees and executives.,Neutral
60,"The opportunity to change the way all executives and employees is welcome, so we will work on it.",Neutral
61,We will work on transformation as a chance to change the way of all executives and employees.,Neutral
62,We would appreciate your continued support and encouragement for shareholders.,Not Available
63,"In the following, Toyota's business and other risks may have an important impact on investors' judgment.",Not Available
64,"However, the following does not cover all the risks about Toyota, and there are other risks other than the risks.",Not Available
65,"Depending on the risk factor, it may affect the investor's judgment.",Not Available
66,"In this section, the matters related to the future are included, but the matters were determined as of the date of submitting the securities report (June 24, 2020).",Not Available
67,Intense competition is taking place in the world's automobile market.,Not Available
68,Toyota is facing competition with automakers in each area of ​​business.,Not Available
69,"Competition in the automotive market has been intensifying, and the situation has continued.",Not Available
70,"In addition, as the globalization of the world's automotive industry progresses, the competition may be even more intensified in the future, which may lead to industry reorganization.",Not Available
71,"The quality and function, safety, dependability, fuel efficiency, innovation period, development time, price, customer service, and car finance terms are all factors that influence competition.",Neutral
72,"The quality and function, safety, dependability, fuel efficiency, innovation period, development time, price, customer service, and car finance terms are all factors that affect competition.",Neutral
73,"Quality and function, safety, reliability, fuel efficiency, innovative period, development period required, price, customer service, and the terms of use of car finance are all factors that influence competition.",Neutral
74,"Factors that affect competition include the quality and function, safety, reliability, fuel efficiency, innovative period, the period required for development, the price, the customer service, and the terms of use of car finance.",Neutral
75,Maintaining competitiveness is the most important in Toyota's future success and sales share in the future and new markets.,Not Available
76,"Toyota will respond accurately to the sudden changes in the car market in recent years, and will continue to promote various efforts to strengthen competitiveness, but there is a risk that we will not be able to compete with the advantage in the future.",Not Available
77,"If competition intensifies, there is a possibility that cars will decrease and sell prices may occur, which may cause Toyota's financial status, business performance and cash flow.",Not Available
78,"In each market where Toyota is in, demand has fluctuated.",Not Available
79,"Depending on the situation in each market, the sale of cars depends.",Not Available
80,"The sale of Toyota depends on markets around the world, and the economic trends in each market are particularly important for Toyota.",Not Available
81,"In the current consolidated fiscal year, the effects of trade friction and the effects of the new colon virus expanded from China to North America, Europe, Asia, etc., resulting in a slow -growing trend to a rapid deceleration.",Not Available
82,"Although the automotive market was depressed in some parts of China and emerging countries, it was stable in developed countries, and it was only a slight decline in the whole world, but the new colonavirus is a global factory. It has begun to have a significant impact, such as suspension of operation and suspension of dealers.",Not Available
83,"Such changes in demand are still continuing, and it is unclear how this situation will change in the future.",Not Available
84,"In the future, if the changes in demand continue or worsen beyond Toyota's assumptions, Toyota's financial status, business performance and cash flow may be adversely affected.",Not Available
85,"Demand is directly involved in car prices and car purchase and maintenance costs, such as sales and financial incentives, prices of raw materials, parts, etc., fuel prices, government regulations (including tariffs, import regulations, and other taxes). It may be affected by factors.",Not Available
86,"If demand fluctuates, there is a possibility that cars will decrease and sell prices may occur, which may result in Toyota's financial status, business performance and cash flow.",Not Available
87,Reducing the development period of the product and satisfying customers with attractive new cars is the key to success for car manufacturers.,Not Available
88,"In particular, it is very important to be satisfied with customers in quality, safety and reliability.",Not Available
89,"In addition, Toyota may carry out capital investment as planned, and may not be able to maintain and improve manufacturing capabilities.",Not Available
90,"If you cannot develop and provide products that meet your needs, there is a risk of reducing sales share and decreasing sales and profit margins.",Not Available
91,Toyota's successful car sales depends on the ability to implement effective sales and distribution based on the distribution network that meets customer requests and sales methods.,Not Available
92,"Toyota has developed distribution networks and sales methods that are effective in customer values ​​or changes in the regulatory environments in the main markets that are in the entry, but if that is not possible, sales and sales share. There is a risk of decreasing.",Not Available
93,It is very important to maintain and develop a brand image in the intense automotive industry.,Not Available
94,"Maintaining and developing a brand image requires you to provide safe, high-quality products that are in line with your values and needs.",Neutral
95,"Maintaining and developing a brand image requires you to provide safe, high-quality products that meet your needs and values.",Neutral
96,"The most effective way to sustain and develop a brand image is to increase your trust in safe, high-quality products that meet your needs.",Neutral
97,"In order to maintain and develop a brand image, it is important to further enhance your trust by providing safe and high -quality products that meet your values ​​and needs.",Neutral
98,Fierce competition is being held in the global financial service industry.,Not Available
99,Intensing competition in car finance can cause a decrease in profit margin.,Not Available
100,"Other factors that affect Toyota's financial business include a decrease in the number of Toyota vehicles, the increase in residual value risks due to the decrease in used cars, the increase in lease rate, and the increase in financing costs.",Not Available
101,"We use various information technology networks and systems, including those managed by Toyota, to process, transmit, and store electronic data containing confidential data.",Neutral
102,"Toyota functions as a third party entity to handle, transmit, and store electronic data that contains confidential information, while also supporting various business processes and activities such as manufacturing, research and development, supply chain management, sales, accounting, etc. We make use of multiple IT networks and systems, including those managed by our company.",Neutral
103,"Toyota functions as a third party entity to handle, transmit, and store electronic data that contains confidential information, while also supporting various business processes and activities such as manufacturing, research and development, supply chain management, sales, accounting, etc. We make use of several IT networks and systems, including those managed by our company.",Neutral
104,"Toyota is a third party to process, transmit, and accumulate electronic information containing confidential data, and to manage and support various business processes and activities including manufacturing, research and development, supply chain management, sales, and accounting. We use various information technology networks and systems, including those managed.",Neutral
105,"Furthermore, Toyota products utilize digital information technology for a range of purposes, including information service functions and driving support functions.",Neutral
106,"Furthermore, Toyota products utilize digital information technology for a variety of purposes, including information service functions and driving support functions.",Neutral
107,"Moreover, Toyota products utilize digital information technology for various functions, including information service functions and driving support functions.",Neutral
108,"In addition, Toyota products also use various digital information technology such as information service functions and driving support functions.",Neutral
109,"As a result, it may adversely affect Toyota's brand image, Toyota's financial status, business performance and cash flow.",Not Available
110,"Toyota's revenue is influenced by the fluctuations of foreign exchange rates and mainly due to the price fluctuations of Japanese yen, US dollar, Euro, Australian dollar, Russian Rouquet, Caddle and British Pound.",Not Available
111,"Toyota's consolidated financial statements are displayed in Japanese yen, so they are affected by foreign exchange fluctuations in the form of conversion risk.",Not Available
112,"In addition, fluctuations in exchange rates may affect the form of trading risks on products and materials that are sold in foreign currency.",Not Available
113,"In particular, the appreciation of the US dollar may adversely affect Toyota's business performance.",Not Available
114,"Toyota uses local production to reduce the risk of exchange rates and interest rates, and uses derivative financial products that include futures exchange reservation transactions and interest rate swap transactions. It may adversely affect Toyota's financial status, business performance and cash flow.",Not Available
115,"Regarding the impact of foreign exchange fluctuations and the use of derivative financial products, ""3 analysis of financial status of managers, business performance and cash flow status (2) Details of management and examination of management results from the perspective of management ①. Please refer to the outline d. Changes in exchange rate and the consolidated financial table 22.",Not Available
116,"If the global economy deteriorates rapidly, many financial institutions and investors may have difficulty in providing funds to financial markets at a level that matches their own financial strength.",Not Available
117,"As a result, it may be difficult for companies to raise funds in terms of their creditworthiness.",Not Available
118,"If the funds cannot be procured under appropriate conditions as needed, Toyota's financial status, business performance and cash flow may be adversely affected.",Not Available
119,"The world's automobile industry has been subjected to various laws and government regulations concerning safety, exhaust emissions, fuel efficiency, noise, and environmental concerns.",Neutral
120,"The world's automobile industry has been subjected to various laws and government regulations concerning safety, exhaust emissions, fuel efficiency, noise, and environmental issues.",Neutral
121,"Laws and government regulations have been imposed on the world's automobile industry in relation to safety, exhaust emissions, fuel efficiency, noise, and environmental concerns.",Neutral
122,"The world's automotive industry has been applied to various laws and government regulations on the safety of automobiles, exhaust gas, fuel efficiency, noise, and environmental problems such as pollution.",Neutral
123,"When it comes to safety, cars that violate laws and government regulations must comply with market treatments such as recalls.",Neutral
124,"When it comes to safety, cars that violate laws and government regulations must comply with market treatments like recalls.",Neutral
125,The implementation of market treatments such as recalls is necessary for cars that fail to comply with laws and government regulations in terms of safety.,Neutral
126,"In particular, in terms of safety, automobiles that do not comply with laws and government regulations are required to implement market treatments such as recalls.",Neutral
127,"Additionally, from the customer's security perspective, there is a chance that market treatments such as recalls will be conducted independently, without any interference from law or government regulation.",Neutral
128,"Furthermore, from the customer's perspective of security, there is a chance that market treatments such as recalls will be conducted independently, without any interference from law or government regulation.",Neutral
129,"Moreover, from the customer's standpoint on security, there is a chance that market treatments such as recalls will be conducted independently, without any interference from law or government regulation.",Neutral
130,"Furthermore, from the customer's security perspective, there is a possibility that market treatments such as recalls will be carried out independently, regardless of the law or government regulation.",Neutral
131,"If Toyota's vehicles have put in the market, market treatments such as recalls are required (parts related to recalls, including those procured by Toyota from third parties), are related to product recalls and free service campaigns. Various costs, including costs, may be incurred.",Not Available
132,"In addition, many governments have established price management regulations and foreign exchange management regulations.",Not Available
133,"Toyota will pay for these regulations, including the costs of international trade trends and changes in policy, and will continue to pay for laws and regulations.",Not Available
134,"In addition, there is a risk that Toyota's future cost burden will increase due to the revision of the new law or current law.",Not Available
135,"Thus, if a large amount of money is incurred to take market treatments and comply with laws and government regulations, it may adversely affect Toyota's financial status, business performance and cash flow.",Not Available
136,"In addition, it may be a legal party with shareholders, or may be subject to administrative procedures or authorities.",Not Available
137,"Currently, Toyota is a party to multiple legal procedures, including administrative procedures and authorities.",Not Available
138,"If Toyota is disadvantaged in the legal procedure that is a party, there is a risk that Toyota's financial status, business performance and cash flow will be adversely affected.",Not Available
139,"For the status of legal procedures such as government regulations, please refer to Consolidated Financial Tables Note 25.",Not Available
140,Toyota is exposed to various event risks in connection with developing business worldwide.,Not Available
141,"These risks include natural disasters, the spread and spread of infectious diseases, the unstable phases of politics and economy, lack of fuel supply, infrastructure such as electricity, transportation functions, gas, water, and communication, and war. There are terrorism, strike, interruption of operations, etc.",Not Available
142,"In the case of Toyota's business management, there is a risk that Toyota's financial status, business performance and cash flow will adversely affect if a serious or long -term disability or delay occurs.",Not Available
143,Toyota has been adversely affected in various aspects of global spread of the new Coronavirus and the response of government and other stakeholders to this.,Not Available
144,"For example, because of the government's demands and the decline in car demand, Toyota has temporarily stopped the production of automobiles and parts in some factories in many countries and regions. Such measures may be taken.",Not Available
145,"The impact of the new Coronavirus has exposed to Toyota's dealers and distributors, as well as some suppliers and business partners, and are expected to continue.",Not Available
146,"In addition, global infection and related issues of the new colon virus have adversely affected business and consumers in various industries, which has a negative impact on the demand of Toyota's car and financial services. Masu.",Not Available
147,"The above -mentioned factors have adversely affected Toyota's sales and operating income in the fourth quarter of the fiscal year ending March 31, 2020 due to the decline in Toyota's sales volume and the increase in residual value. 。",Not Available
148,"3. Analysis of the financial status, business performance and cash flow status by managers (2) Analysis and examination of the status of business performance, etc. from the perspective of management.",Not Available
149,These factors are also expected to have a negative effect on business performance in the fiscal year ending March 2021.,Not Available
150,"Toyota's impact is still uncertain and the impact of the new Coronavirus and the future, and the effects of the above -mentioned, non -described in this book, and the final effects of the new Coronovirus are forecast. There is a risk of negative effects on financial status, business performance and cash flow.",Not Available
151,"Toyota's R & D, in Japan, related companies with Daihatsu Kogyo Co., Ltd., Hino Motor Co., Ltd., Toyota Motor Corporation East Japan, Toyota Central Research Institute, Toyota Research Institute Advanced Development Co., Ltd. It is promoted in close cooperation.",Not Available
152,"In addition, we have established a global development system to create cars that accurately meet the needs of customers in each overseas region.",Not Available
153,"As the main base, Toyota Motor Engineering and Manufacturering North America Co., Ltd. Technical Center, Culture Design Research Co., Ltd. Lopment ㈲ In the Asian region, there is a technical center of Toyota Daihatsu Engineering and Manufacturing Co., Ltd.",Not Available
154,"The R & D expenses for Toyota in the consolidated fiscal year are 1,110,369 million yen.",Not Available
155,The activities and R & D expenses for each business segment in the consolidated fiscal year are as follows.,Not Available
156,"In addition, we have released ""Rise"" in response to requests such as ""I want to ride SUV, I want to load a lot of luggage, but I like a compact size that is easy to drive.""",Not Available
157,"In addition, ""Highlander"", a mid -size SUV suitable for urban driving and multi -group riding, will be launched from the United States to overseas markets.",Not Available
158,"Focusing on high-quality, deep and deep running, and excellent quietness is what distinguishes the Lexus brand from other electric car brands. ""UX300E"" has been launched in China.",Neutral
159,"Dedicated to the unique design of the UX, high convenience and ease of handling inherent in Lexus electric vehicles (EVs), under the brand's ""UX300E"" which has recently been released in China.",Neutral
160,"Dedicated to the unique design of the UX, high convenience and ease of handling inherent in Lexus electric vehicles (EVs), under the brand's ""UX300E"" which has been released in China.",Neutral
161,"Under the Lexus brand, the unique design of compact crossover UX, high convenience, and ease of handling remain the same, pursuing the high -quality, deep and deep running and excellent quietness unique to Lexus electric vehicles (EVs). ""UX300E"" has been released in China.",Neutral
162,"In addition, we performed a sports car ""GR Yaris"" that poured knowledge and know -how to win the FIA ​​World Rally Championship at the Tokyo Auto Salon 2020.",Not Available
163,"Moreover, we have developed a ""sudden accelerator -time acceleration suppression function"" that uses big data from the connected car to detect and suppress an abnormal accelerator action caused by mistaken pedaling. This new function will be released this summer and we also plan to commercialize the acceleration correction system at the same time as this function is being introduced, after making mistakes for already sold vehicles.",Neutral
164,"Moreover, we have developed a ""sudden accelerator -time acceleration suppression function"" that uses big data from the connected car to detect and suppress an abnormal accelerator action caused by mistaken pedaling. This new function will be released this summer and we also plan to commercialize the acceleration correction system at the same time as this function is being introduced, after posting errors for already sold vehicles.",Neutral
165,"Additionally, we have developed a ""sudden accelerator -time acceleration suppression function"" that uses big data from the connected car to detect and suppress an unusual accelerator operation caused by mistaken pedaling. This new function will be released this summer and we plan to commercialize the acceleration correction system simultaneously with this feature, as well as after making mistakes on already sold vehicles.",Neutral
166,"Furthermore, based on big data obtained from the connected car, we have developed a ""sudden accelerator -time acceleration suppression function"" that identifies and suppresses an unusual accelerator operation due to a mistake of pedaling, and will be released this summer. In addition to the introduction of this, we plan to commercialize the acceleration suppression system at the same time when this function is included, and after posting mistakes for already sold vehicles.",Neutral
167,We will persist in promoting development to minimize traffic accidents in the future.,Neutral
168,We will persist in promoting development to decrease traffic accidents in the future.,Neutral
169,"To further reduce traffic accidents, we will persist in promoting development.",Neutral
170,"In the future, we will continue to promote development to further reduce traffic accidents.",Neutral
171,"With regards to the advancement of environmental technology, we believe that eco-cars only serve the purpose of enhancing the environment once it is widely adopted. This involves capitalizing on the energy and infrastructure development of each country and region, as well as their features, to deliver the most superior vehicles possible.",Neutral
172,"With regards to the advancement of environmental technology, we believe that eco-cars only serve the purpose of enhancing the environment once it is widely adopted. This involves capitalizing on the energy and infrastructure development of each country and region, as well as their features, to deliver the most superior cars possible.",Neutral
173,"When it comes to environmental technology advancement, we prioritize the belief that eco-cars only serve the purpose of preserving the environment as it becomes more widespread. This leads us to utilize the energy and infrastructure development of each country and region, as well as their features, to deliver the most superior cars possible.",Neutral
174,"Regarding the development of environmental technology, based on the idea that eco -cars only contribute to the environment when it spreads, the energy and infrastructure development of each country and region, and even the features of eco -cars will be used. We aim to provide the best cars according to.",Neutral
175,"R & D expenses for our business are 1,083,873 million yen.",Not Available
176,"In the basic research field, we are working on research activities in a wide range of fields, such as energy, environment, machinery, information and communication, and materials, centered on Toyota Central Research Institute.",Not Available
177,"R & D expenses for other businesses are 26,496 million yen.",Not Available
178,Our growth and corporate value are stable for the long run.,Neutral
179,Our growth and corporate value are both sustainable and stable.,Neutral
180,Our sustainable growth and corporate value are backed by a long-lasting foundation.,Neutral
181,We have a sustainable growth and long -term stable corporate value.,Neutral
182,"In March 2011, the Toyota Global Vision was unveiled, which was influenced by the management environment at that time. The company's goal was to become a company that could bring customers joy through its simple approach.",Neutral
183,"In March 2011, the Toyota Global Vision was unveiled, which was influenced by the management environment at that time. The company's goal was to become a company that could bring customers joy through its simple selection process.",Neutral
184,"The Toyota Global Vision was unveiled in March 2011, which was influenced by the management environment at that time. The company's objective was to become a company that could bring customers happiness, and they will provide guidance on how to achieve this goal.",Neutral
185,"In March 2011, based on the management environment at that time, the Toyota Global Vision was announced based on the ""Basic Philosophy of Toyota"", and ""I want to be a company that is selected by customers. And I choose Toyota. Based on the desire to be a company that can make the customers smile, we will clarify the direction that the company should aim for.",Neutral
186,Toyota has been flexible and continuously reformed in order to prioritize the right place.,Neutral
187,Toyota has been flexible and continuously reformed with the belief that the right place is paramount.,Neutral
188,"Based on the principle of the right place, Toyota has been flexible and continuously reformed in this regard.",Neutral
189,"In Toyota, we have been flexibly and continuously reformed based on the idea of ​​the right place.",Neutral
190,We will persist in advancing the flow of reforms and strive for a framework that considers management from the highest level of Globalt Yota perspective.,Neutral
191,We will persist in advancing the flow of reforms and strive for a framework that considers management from the most favorable viewpoint of Globalt Yota.,Neutral
192,We intend to promote the movement of reforms and establish a framework that considers management from the perspective of Globalt Yota.,Neutral
193,We will further promote the flow of reforms and aim for a system to think about management from the optimal perspective of Globalt Yota.,Neutral
194,"The ""Sustainability Conference"" is outlined below.",Neutral
195,"The ""Sustainability Conference"" is outlined in the following manner.",Neutral
196,"The agenda for the ""Sustainability Conference"" is presented below.",Neutral
197,"The outline of the ""Sustainability Conference"" is as described below.",Neutral
198,The director's system is thoroughly examined from the accurate and prompt decision-making and the appropriate viewpoint of the right place.,Neutral
199,The director's system is thoroughly examined from the accurate and prompt decision-making and the appropriate viewpoint of the correct individual.,Neutral
200,"A thorough evaluation of the director's system is conducted to ensure that the decision is made promptly and with a correct perspective, from the appropriate location.",Neutral
201,The director's system is comprehensively examined from the accurate and prompt decision -making and the right viewpoint of the right place.,Neutral
202,"The ""Directors' Conference Conference"" is outlined below.",Neutral
203,"The ""Directors' Conference Conference"" will be outlined below.",Neutral
204,"Let's take a look at the ""Directors' Conference Conference"" briefly.",Neutral
205,"The outline of the ""Directors' Conference Conference"" is as described below.",Neutral
206,"""Case"" is a shorthand for Connected, Autonomous/Automated, Shared (sharing), and Electric.",Neutral
207,"Connected, Autonomous/Automated, Shared (sharing) and Electric are all abbreviations for ""Case"".",Neutral
208,"Connected, Autonomous/Automated, Shared (sharing) and Electric are all acronyms that ""Case"".",Neutral
209,"*""Case"" is an abbreviation of Connected, Autonomous/Automated, Shared (sharing), and Electric.",Neutral
210,Audit of the appointment of directors and auditors to serve as members of a Board of Directors.,Neutral
211,Audit of the appointment of directors and auditors to serve as members of a Board of Directors,Neutral
212,Examining the selection of directors and auditors to serve on a board.,Neutral
213,Examination of the appointment of directors and auditors to work as a board of directors,Neutral
214,"Our executive remuneration system is explained in ""(4) Rewards of Executives, etc."" for more information.",Neutral
215,"""(4) Rewards of Executives, etc."" provides details on our executive pay structure.",Neutral
216,"Could you explain our executive compensation structure in detail under ""(4) Rewards of Executives, etc.""?",Neutral
217,"Please refer to ""(4) Rewards of Executives, etc."" for our executive compensation system.",Neutral
218,"The ""Reward Formulation Conference"" will be presented in the following manner.",Neutral
219,"The ""Reward Formulation Conference"" will be presented in the following manner:.",Neutral
220,"Here's what the ""Reward Formulation Conference"" will entail: 1.",Neutral
221,"The outline of the ""Reward Formulation Conference"" is as follows.",Neutral
222,"In the coming years, we will persist in pursuing measures and implementing long-term management strategies to enhance the stability of corporate value.",Neutral
223,"In the future, we will persist in pursuing measures and implementing long-term management strategies to enhance the stability of corporate value.",Neutral
224,We will persist in our efforts to enhance the long-term stability of corporate value by implementing management strategies and enacting measures.,Neutral
225,"In the future, we will continue to strive to improve long -term stability of corporate value through the implementation of management strategies from the long -term perspective and implementing measures.",Neutral
226,Matters related to the future in the sentence have been determined by the Group as of the end of the consolidated fiscal year.,Not Available
227,"Among them, the final stage of VG2020, the medium -term management plan VG2.0 (hereinafter, VG2.0), started in FY2017.",Not Available
228,"VG2.0, the company's policy, emphasizes the creation of innovation and self-propelled growth, commencing with technology evolution and developing the core technology of ""Sensing & Control + Think"" to foster technological innovation. We aim to achieve sustainable growth by creating a new Social Nyss on the basis.",Neutral
229,"VG2.0, the company's policy, emphasizes the creation of innovation and self-propelled growth, commencing with technology evolution and developing the core technology of ""Sensing & Control + Think"" to foster technological innovation. We aim to achieve sustainable growth by creating a new Social Nyss on the ground.",Neutral
230,"According to the Group, VG2.0's policy is to ""create innovation and achieve self-propelled growth, starting from technology evolution"" and also ""developing Sensing & Control + Think"" core technology for sustainable growth through the creation of a new Social Nyss on the base.""",Neutral
231,"The Group says that the company policy of VG2.0 has been ""creating innovation and realizing self -propelled growth, starting from technology evolution,"" and continuing to evolve the core technology ""Sensing & Control + Think"" to develop technological innovation. We aim for sustainable growth by creating a new Social Nyss on the base.",Neutral
232,"In the third year of VG2.0, in the current fiscal year, we will promote “establishing a self -propelled growth structure” in the headwind.",Not Available
233,"We worked on ""profitability"", ""growth power"", and ""reinforcement of change"".",Not Available
234,"In the current fiscal year, sales were 830 billion yen, operating income of 65 billion yen, and 42 % (GP rate) 42 %.",Not Available
235,"After that, in April 2019, the transfer of shares in the in -vehicle business was announced, and the full -year outlook was revised to 709 billion yen, operating income 57.5 billion yen, and GP rate 45.5 %. 。",Not Available
236,"The purpose of transferring the in -vehicle business, including shares, is to develop and survive in the automotive industry in the very leather period, and at the same time strengthened our business portfolio and narrowed down. To concentrate management resources and accelerate competition and growth strategies.",Not Available
237,"Later, in October 2019, the business environment was deteriorated due to the US -China trade friction, and the sales were reiterated to 670 billion yen, operating income of 45 billion yen, and GP rate 44.5 %.",Not Available
238,"After January 2020, it was affected by the expansion of the new colon viral infection, but the result was 677,980 million yen, operating income of 54,760 million yen, and 44.8 % of the GP rate. I was able to achieve it much higher than.",Not Available
239,"The efforts of ""growth"", ""profitability"", and ""change response"", which are listed in the basic policy, have been steadily progressing.",Not Available
240,"Specifically, it is as described below.",Not Available
241,"We have accelerated efforts to link assets such as product power, technical skills, business infrastructure, etc. built in the first two years (2017-2018) in the first half of VG2.0.",Not Available
242,"Specifically, in the control equipment business, (Note 1) is promoted and accelerated.",Not Available
243,"In the future, we are expecting global sales expansion.",Not Available
244,"As a result of these initiatives, the GP rate has been improved as sales decrease, and the power to earn is definitely increasing.",Not Available
245,"This is the result of living sales, such as increasing unit prices by solution proposals, highly competitive products, variable costs and reducing manufacturing fixed costs.",Not Available
246,"For example, in the electronic component business, the company's consolidation of the base and the consolidation of production lines have been improved to increase the efficiency of manufacturing and fixed costs.",Not Available
