,news_content,impact_type
15,"Changes include improvements in clarity, with updated terminology and minimized ambiguity in questions, as well as improvements in  consistency and applicability, as well as restructuring of some sections for better alignment with other sustainability reporting frameworks such as TCFN, TNFD and ISSB.",0
16,"Industrial IoT platform Kuva Systems announced today the closing of an $11.3 million Series A financing round, with proceeds aimed at accelerating the growth of its platform, used by oil and gas companies to monitor and reduce methane emissions.",0
17,"Reducing methane emissions has taken center stage in the fight to address climate change in recent years. Methane, emitted from activity such as agriculture, fossil fuel production and transport, coal mining and landfills, is an extremely potent greenhouse gas, with as much as 80x the warming power of CO2. Given its much shorter lifetime in the atmosphere, however (10-12 years, vs 50-100 years for CO2), near-term reductions in methane emissions can have a meaningful climate impact over the next few years.",0
18,"BDC provides financing, advisory services and capital to small and medium-sized enterprises in Canada. The company said that it developed the framework following consultations with industry partners and stakeholders on the need to bring more transparency and embed ESG disclosure and reporting standards within the Canadian venture capital space.",0
19,"Energy as a Service solutions provider AlphaStruxure, a joint venture of global private capital investment firm Carlyle and Schneider Electric, announced today an agreement to design, construct, and operate integrated microgrid infrastructure at the New Terminal One (NTO) at John F. Kennedy International Airport.",0
20,"The terminal’s 11.34 MW microgrid, which will include 7.66 MW of rooftop solar and 3.68 MW of fuel cells, in addition to 4 MW-hours of battery energy storage, will enable the terminal to function independently of the power grid, and maintain 100% of airport operations during power disruptions.",0
21,"The microgrid will be financed by Carlyle, with technology, software and services to be provided by Schneider Electric.",0
22,"The successful issuance is the latest in a series of strong SLB offerings, following a slowdown in the market over the past few months.",0
23,"Calling the success of the offering “extraordinary and surprising,” Eni CEO Claudio Descalzi said: 
“It has been for us above all a very strong response in terms of trust from the Italian public, and this is the aspect that gives us the greatest satisfaction and strengthens us. So many Italians have believed in what we are doing, both in terms of progressively moving toward decarbonized industrial processes and products, and in terms of ensuring energy security.”",0
24,"Mascotto said: 
“There is such great need from companies for assistance as they review new and updated ESG standards and look to capture sustainable finance opportunities to help transition to a low-carbon economy and elevate communities through inclusive access and growth. I’m excited to partner across U.S. Bank on products and services that will help customers achieve their sustainability goals.”",0
25,"Last year, the company reported that its 2021 sustainable finance activity reached an all-time high of $250 billion in capital mobilized for financing UN SDG-aligned green and social projects, compared to approximately $105 billion in 2020.",0
26,"Governments – and the public sector more broadly – will no longer be able to plug the funding gap for green infrastructure projects without private sector help. The private sector has the expertise, funds and experience critical to the success of these projects. As a result, the private sector will have to invest in the new infrastructure needed for sustainable development goals. This will include newer asset classes, like advanced nuclear power, electric vehicle infrastructure, floating renewables and carbon capture. Each of these projects will have to secure a strong credit rating for the companies who invest. So, each project must have strong fundamentals for financing, through stable, predictable revenue, reasonable protection from changes in policy and support to new supply chains to be able to deliver the early projects.",0
27,"In a statement provided to ESG Today by ISS, a spokesman of the firm said that the letter “reveals a fundamental misunderstanding of market forces at work,” and adding that the firm’s “sole agenda is to provide its clients with tools and policy options to enable them to make informed investment decisions and vote their shares in accordance with their distinct views and fiduciary responsibilities.”",0
28,"According to the new rules, the ban will not apply to plates, trays, and bowls that are used as packaging in shelf-ready pre-packaged food items, including in eat-in and takeaway settings, although businesses are being encouraged to reduce the use of these items and move to reusable alternatives. The government is also planning to address these items through a Extended Producer Responsibility Scheme, which will provide incentives to producers to use packaging that can be recycled and to meet higher recycling targets.",0
29,There is no one right way to bring ESG into core strategy. Each individual company needs to find a path that is appropriate to its business and culture. But every company can benefit from a governance framework that allows leaders to set clear goals that are aligned with and support their business strategy.,0
30,"The achievement follows the company’s announcement in November 2021 of initiatives to eliminate plastic water bottles and cups from its flights, replacing the bottles with Boxed Water cartons, and moving to recyclable paper cups for water. At the time, the airline said that plastic cups would continue to be necessary inflight for soda and alcoholic beverages, which could leak through paper cups, and that it was exploring sustainable alternatives for these.",0
31,"Microsoft announced today a new strategic alliance with solar panel manufacturer Qcells, aimed at advancing the renewable energy supply chain in the U.S., and supplying at least 2.5 GW of solar panels and related services for projects supplying Microsoft with renewable energy.",0
32,"Brad Smith, vice chair and president, Microsoft, said: 
“Building a resilient solar energy supply chain is essential to advancing a global green energy economy. Microsoft’s partnership with Qcells will help make this vision a reality by bringing innovation and investment to rural Georgia. As one of the world’s largest purchasers of renewable energy, this work will help bring more solar energy to the grid, faster.”",0
33,"The achievement follows BMW’s announcement in 2021 of an expansion of its efforts to combat climate change, including goals to significantly reduce vehicle emissions throughout the lifecycle, reduce CO2 emissions by 40% per vehicle by 2030, and make a minimum of 50% of its global sales from battery electric vehicles by 2030.",0
34,"According to the auction results released by the RBI, bids for the offering reached slightly over $4 billion, and the green bonds were issued with a 7.10% yield for the 5-year, and 7.29% for the 10-year, relative to yields of 7.16% and 7.35%, respectively, for government bonds with similar maturities.",0
35,"The framework also includes a list of excluded projects, such as those related to the extraction of fossil fuels. Excluded Project definitions include nuclear power generation and hydropower plants that are over 25 MW in size.",1
36,"The framework also includes a list of excluded projects, such as those related to the extraction of fossil fuels. Excluded Project definitions include nuclear power generation and hydropower plants that are larger than 25 MW.",1
37,"Moreover, the framework also names a set of excluded projects, such as those that involve the extraction of fossil fuels. The Excluded Project category encompasses nuclear power plants and hydropower plants larger than approximately 25 MW.",1
38,"Moreover, the framework also names a set of excluded projects, such as those that involve the extraction of fossil fuels. The Excluded Project category encompasses nuclear power plants and hydropower plants larger than 25 MW in size.",1
39,"Besides this, the framework also lists a number of excluded projects, including fossil fuel extraction, and includes nuclear power generation and hydropower plants larger than 25 MW (the Excluded Project category).",1
40,"Also included in this framework are several projects that have been removed, including those related to the extraction of fossil fuels – for nuclear power plants, for hydropower plants larger than 25 MW, etc., designated as Excluded Projects.",1
41,"Sustainable investment firm responsibility announced today that it has raised $274 million in the first closings of two of its sustainable food-focused investment funds, aimed at transforming global agriculture and food value chains.",0
42,"Sustainable Food in Asia aims to invest in mid and downstream companies propelling efficiency in food production and distribution across South Asia and Southeast Asia, in countries including India, Indonesia, Vietnam, and the Philippines. responsAbility said that the strategy aims to tap the 1.2 billion mostly young, urbanized consumers expected to join the upper middle class income category, with Asia poised to more than double its total spending on food to over $8 trillion by 2030.",0
43,"Anna Murray, Senior Managing Director and Global Head of Sustainable Investing at OTPP said: 
“Although we still consider a 30% goal to be meaningful, we’re raising the threshold to challenge public companies in developed markets to keep improving as we strive for truly diverse and representative boards.”",0
44,"According to OTPP, the new policy comes as gender diversity at large public issuers in developed markets has been gaining momentum, already exceeding 30% in most of the developed markets in which it invests.",0
45,"The company said the guidelines reinforce focus areas for publicly traded companies such as Diversity, Equity and Inclusion (DEI) and increased participation of women in board roles, and that the framework continues to require boards to set and disclose timebound targets to increase the number of board directors identifying as a member of an underrepresented group.",0
46,"The guidelines ask boards to set and disclose timebound targets to increase the number of board directors identifying as a member of an underrepresented group, and encourage reporting on achievement against those targets.",0
47,"Lander said: 
“We expect them to take the steps needed now to reduce emissions on the timeline to which they have committed. We are asking Bank of America, JPMorgan Chase, Goldman Sachs, and Royal Bank of Canada to follow the lead of their peers by setting and disclosing absolute, science-based targets for 2030, to show investors they are serious about reaching those goals.”",0
48,"Sandahl joined Nordea in 2009, and has been leading the pension unit’s climate and sustainability strategy since 2019 and played an active role in shaping the global standards for carbon accounting, net-zero alignment and transition planning for financial institutions, with positions in initiatives including Partnership for Carbon Accounting for Financials (PCAF), Principles for Responsible Investment (PRI) and Glasgow Financial Alliance for Net Zero (GFANZ).",0
49,"The U.S. Federal Reserve Board released details and instructions for its inaugural climate scenario analysis exercise for the six largest U.S. banks, designed to assess the banks’ climate-related risk management practices and their resilience to a range of climate outcomes. Results from the exercise are to be submitted by the banks by the end of July.",0
50,"The banks will explore the effects of two climate scenarios on specific areas of their loan portfolios. The scenarios, based on those provided by the Network of Central Banks and Supervisors for Greening the Financial System (NGFS), include one based on current policies and one based on reaching net zero greenhouse gas emissions.",0
51,"Developed by the departments of Energy, Transportation, Housing and Urban Development, and the Environmental Protection Agency, the plan identifies the deployment of zero emission vehicles and fuels as the most meaningful drivers to decarbonize the sector, including all modes of transporting people and goods by land, air and sea.",0
52,"The blueprint focuses on each major transportation mode, including light duty vehicles (LDVs) and medium- & heavy-duty trucks and buses (MHDVs), which account for 49% and 21% of transportation emissions, respectively, noting that achieving 2050 net zero emissions goals will require transitioning new LDV sales to zero emission vehicles (ZEVs) by the mid-2030s, and then rapidly replacing the existing stock of fossil-based vehicles with ZEVs, while MHDV solutions will need to be broader, given the variety of types and uses of the vehicles. Key actions for these areas under the blueprint include the implementation of policies and regulations to expand the market share and use of EVs, investments in EV charging infrastructure, funding research and innovation to improve vehicle, battery and charger performance, and for technologies to replace MHDV fossil fuel vehicles.",0
53,"Dubai-based airline Emirates announced plans to conduct its first experimental flight using 100% sustainable aviation fuel (SAF) in one engine this week, in a test aimed at supporting expanded use of SAF for commercial flights.",0
54,"The planned flight will follow the successful completion earlier this week of ground engine testing of a GE90 engine on a 777-300ER using 100% SAF, aimed at demonstrating the capability of the engine to run on 100% SAF without affecting performance requiring modifications to the aircraft systems, or special maintenance procedures on the aircraft.",0
55,"Global money management firm Putnam Investments announced the launch of a series of new actively managed exchange traded funds (ETFs), including three fixed income and two non-U.S. equity strategies.",0
56,"Nathan Shuchami, Managing Partner at Hyperwise Ventures, said: 
“We are proud to be a part of this much-needed revolution in the data center industry, and look forward to working closely with Yuval and his team as they bring this peerless innovation to market. ECL has a long lead on the competition in the delivery of a data center powered primarily by green hydrogen and we can’t wait to stand with them as they raise the curtain in Q2 2023.”",0
57,"Energy services and infrastructure company VINCI Energies announced today the completion of a €15 million investment in integrated hydrogen mobility platform and hydrogen taxi fleet operator, Hype.",0
58,Fifth Wall stated that McGeory will work collaboratively with the firm’s strategic investors to expedite their climate commitments.,0
59,"PNC Financial Services Group announced today a commitment to facilitate $30 billion of environmental finance, significantly increasing prior target of $20 billion over 5 years.",0
60,"PNC announced its initial goal in August 2021, supporting projects including green buildings, renewable energy and clean transportation. PNC revealed that since establishing its goal, it has already completed $9 billion in environmental financing for its customers.",0
61,"Michael P. Lyons, head of Corporate & Institutional Banking, said: 
“PNC continuously assesses ways in which we, as a financial institution, can support our clients’ ambitions as they work toward their own climate transition goals. The expansion of our environmental finance commitment is a natural next step as client demand increases.”",0
62,"Sustainability-linked debt has been one of the fastest growing areas of sustainable finance, with attributes including interest payments tied to an issuer’s achievement of specific sustainability targets. Corporate interest in sustainability-linked loans has grown rapidly, as the financing provides flexibility to use proceeds for general corporate purposes, while with instruments such as green bonds, raised funds can only be allocated to specific categories of green projects.",0
63,"SK Hynix’s issuance follows a €1 billion issuance earlier this week by Air France-KLM, which also saw strong demand, drawing an orderbook of €2.6 billion.",0
64,Danone stated that it expects to remove 1.2 million tons of carbon dioxide equivalent of methane emissions by 2030.,0
65,"The Green Plan is supported by Singapore’s GreenGov.SG initiative, which includes public sector sustainability commitments, such as peaking carbon emissions around 2025, requiring government agencies to purchase products that meet high efficiency or sustainability standards, and considering companies’ sustainability-related policies and practices when evaluating government tenders.",0
66,"The company said that the engine showed very good characteristics in terms of efficiency, performance, emissions and combustion in the test, and that with green hydrogen, the mtu engines can be operated in a carbon neutral manner in the future.",0
67,"Following the successful test, Rolls-Royce said that has already planned the first installation of mtu engines running on 100% hydrogen as part of the enerport II project in the German port of Duisburg, which aims to be first container terminal to run on hydrogen on a completely climate-neutral basis.",0
68,"The capital raise was led by climate-focused investors including by Evok Innovations and BDC Capital’s Climate Tech Fund, and included participation from existing investors Xora Innovation and Capricorn Investment Group. Several other new climate-focused investors joined the capital raise, including Volta Energy Technologies, NGP, Helios Climate Ventures, and The Grantham Foundation.",0
69,"Cheri Corbett, Senior Partner of BDC Capital’s Climate Tech Fund, said: 
“Batteries will play an increasingly important role in decarbonizing our economy. We believe that Summit has the right technology to ensure that lithium mining is done in both a responsible and sustainable manner.”",0
70,"Sandahl said: 
“I’m very happy to have been given the trust to lead the work in this important area. I look forward to working with colleagues, customers and the broader community in further developing Nordea’s climate transition plan and executing on our goals and commitments.”",0
71,"Global consumer brands and industrial products company Henkel announced today an agreement with Shell to replace up to 200,000 tonnes of fossil-based ingredients for its laundry products with renewable feedstocks.",0
72,"The companies estimate that the five-year agreement will result in greenhouse gas emissions (GHG) reductions of up to 120,000 tonnes.",0
73,"The Council stated that the proposals form part of efforts to prevent greenwashing, or the mischaracterization or exaggeration of the sustainability characteristics and attributes of financial products and services.",0
74,"Unless they aim to reduce ESG risk, products that do not pursue a specific sustainability goal are excluded from being considered sustainable under this definition.",1
75,"A sustainable label is not granted to products that are designed to minimize ESG risk, but do not aim to achieve a specific sustainability goal.",1
76,"Unless they aim to reduce ESG risk, products that do not pursue a specific sustainability goal are excluded from being considered sustainable according to this definition.",1
77,"A sustainable label is not granted to products that are designed to minimize ESG risk, but do not aim to achieve a particular sustainability goal.",1
78,"According to this definition, products that aim to minimize ESG risk and do not pursue a specific sustainability goal are not eligible for naming or selling them as sustainable.",1
79,"For example, under this definition ""products aimed at minimising ESG risk without following a specific target for sustainability are not sustainable"" (see below).",1
80,"The awards were made from the UK’s £165 million Advanced Fuels Fund, aimed at supporting the development of SAF production plants in the UK. The fund was launched alongside the UK’s “Jet Zero” strategy this year, its plan to achieve net zero aviation by 2050. The strategy aims to reduce emissions from aviation by more than 60% by 2050, and envisions 2019 as the peak year for the sector’s emissions.",0
81,"Guilbeault said: 
“Zero-emission vehicles are where the rubber hits the road for cost-conscious Canadians who want to help the environment while getting off the roller-coaster of high gasoline prices.”",0
82,"In addition to the 2035 target, Canada also introduced a series of interim ZEV sales mandates, requiring ZEVs to make up 20% of new vehicle sales by 2026, and 60% by 2030. According to a government statement, the targets are aimed at helping increase ZEV supply for consumers.",0
83,"Pharmaceutical giant Pfizer announced today a major expansion of its initiative to provide medicines and vaccines on a not-for-profit basis in lower-income countries, to now include its full portfolio of approximately 500 products.",0
84,"Investment management firm Fidelity announced today the launch of a new social impact initiative, Invest in My Education (ME), aimed at providing access to education and support for Black, Latinx, and historically underserved students.",0
85,"The program will initially launch in three regions, including Boston, Raleigh/Durham and Dallas/Fort Worth, with the first cohort of students to be identified this summer.",0
86,"Fidelity stated that engaged with several strategic partners, including UNCF, to inform the initiative’s work, and to connect resources with the students and communities most in need.",0
87,"S&P Global Sustainable1 and the UN Environment Programme (UNEP) announced today the launch of Nature Risk Profile, a new methodology aimed at enabling companies and investors to assess and analyze companies’ nature-related risks, including impacts and dependencies on biodiversity.",0
88,"New disclosure systems, including the TNFD, are being developed to assist companies in assessing and reporting on nature and biodiversity-related issues.",1
89,"The Taskforce on Nature-related Financial Disclosures (TNFD) and other disclosure systems are currently being developed, with companies facing mounting pressure to assess and report on nature and biodiversity- related issues.",1
90,"The Taskforce on Nature-related Financial Disclosures (TNFD) and other disclosure systems are currently being developed, with companies facing mounting pressure to evaluate and report on nature and biodiversity-based issues.",1
91,"New disclosure systems, including the TNFD, are being developed to assess and report on nature and biodiversity-related issues.",1
92,"The task of assessing and reporting on nature and biodiversity-related issues is becoming increasingly difficult for companies, as evidenced by the development of new disclosure systems like the Taskforce on Nature-based Financial Disclosures (TNFD). The International Sustainability Standards Board (ISSB) has announced its intention to include transparency requirements related to natural ecosystem impact and risks in its Climate-Linked Disclosure Standard, with a particular focus on the TNDF’s work.",1
93,"The task of assessing and reporting on nature and biodiversity-related issues is becoming increasingly difficult for companies, as evidenced by the development of new disclosure systems like the Taskforce on Nature-based Financial Disclosures (TNFD). The International Sustainability Standards Board (ISSB) has announced its intention to include transparency requirements related to natural ecosystem impact and risks in its Climate-Linked Disclosure Standard, with a particular focus on the TNBD’s work.",1
94,"Neville Ash, Director of UNEP World Conservation Monitoring Centre, said: 
“The methodology provides a major step forward to deliver the actions required for transformative change and support the finance sector’s critical contribution to delivering the ambitions of the Kunming-Montreal Global Biodiversity Framework. This methodology links science, policy and finance to bring nature to the heart of financial decision-making.”",0
95,"Riggle said: 
“The formal establishment of this joint venture between LG Energy Solution and Honda to produce EV batteries in Ohio is another major step toward our electrified future. We are excited to move forward with such a strong partner in LG Energy Solution and, together, we look forward to establishing a strong relationship with the community in Fayette County, Ohio.”",0
96,"Lee said: 
“LG Energy Solution has all the right assets to make this joint venture a success, including the financial stability, quality, competitiveness, and production capacity with global operational expertise. With two companies’ expertise combined, we will provide top quality batteries to ensure the successful launch of Honda EVs in North America, and grow with the community here in Ohio by creating high value jobs.”",0
97,"Telecom giant Verizon announced a series of new long-term renewable energy purchase agreements (REPAs), adding 410 megawatts (MW) of renewable energy from new facilities across the U.S.",0
98,"The new agreements bring Verizon’s projected renewable energy capacity to more than 3GW, enough to power more than 707,000 homes for a year, and position the company to meet its goal to source or generate renewable energy equivalent to 50% of its total annual electricity consumption by 2025.",0
99,"The agreements include two deals with Ivenergy combining up to 240 MW of renewable energy capacity in the Electric Reliability Council of Texas (ERCOT) regional market and the Southwest Power Pool (SPP) regional market, a 12-year agreement with Enel North America for up to 100 MW of capacity from a wind facility in the SPP market, and an additional agreement for up to 70 MW of anticipated capacity from a facility located in the Pennsylvania Jersey Maryland (PJM) interconnection regional market.",0
100,The announcement follows Verizon’s issuance last year of its fourth $1 billion green bond.  Verizon has allocated billions from green bond offerings over the past few years to scale up its use of renewable energy.,0
101,"Matt Ellis, executive vice president and chief financial officer at Verizon, said: 
“We are proud to be among the leading corporations in the U.S. in buying renewable energy. We are also a leader in green financing, issuing four green bonds totaling $4 billion in as many years, allowing us to further support and invest in renewable energy to deliver on our goal to be net zero in our operational emissions (scope 1 and 2) by 2035.”",0
102,"Key 2030 goals include restoring 30% of degraded ecosystems, reducing the loss of areas of high biodiversity importance to near zero, phasing out subsidies that harm biodiversity by at least $500 billion per year, cutting global food waste in half, and reducing the introduction of invasive alien species by 50%.",0
103,"The framework's voluntary nature and weak language were cautioned by WWF as potential threats to the goals of halting biodiversity loss and protecting ecosystems. According to Lambertini, the agreement lacks a mandatory ratcheting mechanism that will require governments to increase action if targets are not met. He added that it is now time for nature to thrive again.",1
104,"The framework's voluntary nature and weak language were cautioned by WWF as potential threats to the goals of halting biodiversity loss and protecting ecosystems. According to Lambertini, the agreement lacks a mandatory ratcheting mechanism that will require governments to increase action if targets are not met. He added that it is now time for nature to thrive once more, rather than waiting for excuses or delays.",1
105,"WWF cautioned that the agreement's weak language and voluntary nature could jeopardize its commitment to halting biodiversity loss and protecting ecosystems. Lambertini, on behalf of Nature Conservancy Ireland, stressed the importance of prompt implementation without any excuses or delays for governments to increase action if targets are not met.",1
106,"WWF cautioned that the agreement's weak language and voluntary nature could jeopardize its commitment to halting biodiversity loss and protecting ecosystems. Lambertini, on behalf of Nature Conservancy Ireland, stressed the importance of prompt implementation without any excuses or delays for governments to increase actions if targets are not met.",1
107,Weak language and a voluntary nature of the agreement were cautioned by WWF as jeopardizing the goals of conserving biodiversity and protecting ecosystems. The framework does not provide any mandatory ratcheting mechanism that will force governments to increase action if targets are not met.,1
108,"Weak language and a voluntary nature of the agreement were cautioned by WWF as jeopardizing the goals of conserving biodiversity and protecting ecosystems. The framework does not provide any mandatory ratcheting mechanism, which would require governments to increase action if targets are not met.",1
109,"Financial institutions' climate impact is largely determined by their financing activities, with financed emissions being hundreds of times higher than operational emissions, and accounting for the majority of their ‘Scope 3’ or value chain emissions.",1
110,"Financial institutions' climate impact is largely determined by their financing activities, with financed emissions being hundreds of times higher than operational emissions, and accounting for most of their ‘Scope 3’ or value chain emissions.",1
111,"Most financial institutions' climate impact is caused by financing activities, with financed emissions being hundreds of times higher than operational emissions, and accounting for the majority of their ‘Scope 3’ or value chain emissions.",1
112,"Financing activities are responsible for the vast majority of financial institutions' climate impact, with financed emissions being hundreds of times higher than operational emissions.",1
113,"Financing activities are responsible for the vast majority of financial institutions' climate impact, with financed emissions being hundreds of times higher than operational emissions, and accounting for most of their value chain emissions.",1
114,"Finance activities are responsible for the vast majority of financial institutions' climate impact, with financed emissions being hundreds of times higher than their operational emissions, and accounting for most of their ‘Scope 3’ or value chain emissions.",1
115,"Funding for the $9.6 billion plan will come primarily from USPS revenues, and will also include $3 billion in congressional funding from the Inflation Reduction Act.",0
116,"Earlier this year, the government pledged to deliver the first-ever net-zero emissions transatlantic flight, powered by 100% sustainable aviation fuel by the end of 2023, and outlined a series of initiatives to address barriers to greater SAF use, including high fuel production costs, the need for significant investment to scale infrastructure and production, and feedstock availability.",0
117,"Biogas is produced from organic waste, such as agricultural, industrial, and household wastes, in anaerobic digesters at waste facilities or landfill sites, and then further processed to produce biomethane/bio-LNG. Biomethane is chemically identical to fossil-based natural gas, but has substantially lower lifetime greenhouse gas emissions, enabling it to support the decarbonization of hard-to-abate sectors such as road transport and heavy industry, without needing to replace existing transmission and distribution infrastructure.",0
118,"According to VARO, the acquisition comes amid strong demand growth for biogas, which is expected to increase 3X across Europe by 2030.",0
119,"Companies joining the FMC’s carbon removal commitment agree to contract for at least 50,000 tons, or at least $25 million of durable and scalable net carbon dioxide removal to be achieved by the end of 2030. Criteria for the removals include solutions that can store captured carbon for a minimum of 1,000 years, and solutions that have the potential to scale to at least megaton scale by 2030 and gigaton scale by 2050.",0
120,"The new agreement will see the partners join efforts to focus on green hydrogen production in Abu Dhabi for export to the Netherlands through the port of Amsterdam, targeting delivery to sectors including sustainable aviation fuel (SAF), steelmaking, and bunkering for shipping, as well as to new, emerging European offtakers, via pipeline, truck and barge. Several hydrogen transportation methods will be explored, with a focus on liquid organic hydrogen carriers and liquid hydrogen.",0
121,"Masdar CEO Mohammed Jameel Al Ramahi said: 
“Masdar believes green hydrogen to be a promising energy source for hard-to-abate sectors in support of global decarbonization, which is why we launched our dedicated green hydrogen business last month. We are pleased to partner with Port of Amsterdam, SkyNRG, Evos Amsterdam, and Zenith Energy to leverage our synergies in the fuel and logistics sectors to see how green hydrogen can help us achieve our shared goals for decarbonization and sustainable economic growth.”",0
122,European market infrastructure provider Euronext announced today the launch of a new index investing in companies with climate goals approved by the Science Based Targets initiative (SBTi) as in line with the 1.5°C goal of the Paris Agreement.,0
123,"Founded in 2009 by Christoph Gebald and Jan Wurzbacher, Climeworks has emerged as the leading DAC provider. Last year, the company raised nearly $650 million in an equity funding round aimed at scaling its DAC capacity. The company has since started construction of “Mammoth,” a new 36,000 tonne-capacity DAC facility.",0
124,"Stacy Kauk, Head of Sustainability at Shopify, said: 
“Developing a rigorous methodology and sharing it publicly is a critical step to build trust with carbon removal buyers like Shopify – it gives us confidence that what we’re paying for is actually happening.”",0
125,"UK bank Barclays announced today a new goal to facilitate $ trillion of sustainable and transition financing between 2023 by the end of 2030, marking a significant increase over its current targets of delivering £150bn of social and environmental financing by 2025, and £100bn of green finance by 2030.",0
126,"Barclays’ sustainable financing target encompasses Green, Social, Transition and Sustainability-linked Financing for corporate, government and consumer clients, including the financing of green mortgages, energy efficient technology and renewable energy, and broader social and sustainability work, such as sustainability-linked structures and affordable housing.",0
127,"Daniel Hanna, Barclays Global Head of Sustainable Finance for the CIB, said: 
“Barclays is uniquely positioned to help scale the new climate technologies that will decarbonise industries and create green jobs. Many of the technologies that are required to achieve Net Zero have not yet reached commercial scale. Barclays can play a critical role though leveraging our experience as an advisor, bank, and investor through our Sustainable Impact Capital Programme to help accelerate their development and adoption.“",0
128,"Global banking and financial services company HSBC will no longer provide financing for new oil and gas projects or for new metallurgical coal mines, according to its new Energy Policy released today, and the bank will require energy sector clients to provide transition plans consistent with its climate targets in order to continue receiving financing.",0
129,"The new policy builds on HSBC’s recent climate-related finance announcements, including the introduction earlier this year of financed emissions reduction targets for the Oil & Gas and Power & Utilities sectors, and its commitment from December 2021 to phase out financing of coal-fired power and thermal coal mining. In March 2022, HSBC committed to phase down fossil fuel financing and to require clients to provide transition plans, as well as to review and update its financing and investment policies.",0
130,"While the policy will see the bank end financing for new oil and gas projects and related infrastructure, the bank said that it will continue to provide financing and advisory services to energy sector clients at the corporate level, if they provide transition plans consistent with HSBC’s 2030 financed emissions and 2050 net zero targets.",0
131,Martin stated that HSBC's announcement solely pertains to asset financing and does not address the larger portion of funding provided to companies planning for oil and gas expansion.,1
132,"According to Martin, HSBC's announcement solely pertains to asset financing and does not encompass the larger portion of funding that is still available for companies planning for oil and gas expansion. He anticipates that he will be able to present new proposals soon to address this issue.",1
