,news_content,impact_type
22,"""In terms of $ 3 per ton, global carbon prices are still too low!"" Fidelity International Investment: Accelerate carbon reduction, the success or failure depends on COP26",3
23,Science and technology reshape financial services. Yushan embraces technology to create a healthy and tough organization,0
24,"Taida's 50th anniversary show green strength! How can 3,500 people participate in zero carbon target?",0
25,"The strongest museum has abandoned millions of annual salary! Smaller pensions are just to do ""this matter""!",3
26,"LUSH cosmetic brand has lost almost 400 million in revenue. Why did they choose to deactivate social media platforms such as Facebook, IG, and TIKTOK?",1
27,"LUSH cosmetic brand has lost almost 400 million in revenue, so why did they choose to deactivate social media platforms such as Facebook, IG, and TIKTOK?",1
28,"In light of LUSH's revenue loss, what led the cosmetic brand to opt out of social media platforms such as Facebook, IG, and TIKTOK?",1
29,"In light of LUSH's revenue loss, what led the cosmetic brand to opt out of social media platforms such as Facebook, IG, and TiKTOK?",1
30,"Why did LUSH opt to disregard social media platforms such as Facebook, IG, and TIKTOK, leading to the brand's revenue decline by almost 400 million dollars?",1
31,"Taibu's shareholders will pass the dividend of 3.5 yuan, Dong Zhenping Zhang Anping: fully transforming green enterprises",0
32,"Each bottle of fresh milk can be sold fairly, so that the supplier gets reasonable remuneration ... How does fresh milk workshop rely on ""ultra -transparent"" annual revenue of 600 million",0
33,Don't think that doing ESG is just doing good ... A fable story understands: the true meaning of sustainable operation,3
34,"""Restore ‧ Starting"" welcomes the return of daily Citi Global Volunteer Day calling on employees to reduce plasticity and clear up wheelchair to care for the mental health",0
35,2021 World Environment Clean Day be cool! Let the earth cool down!,3
36,Create the value that can be shared,3
37,"Swedish girls spoke for climate change, and the annual character of the selected era magazine caused controversy for ""reason""",3
38,Enterprise carbon reduction enhances green competitiveness,3
39,Citi bring Taiwan Green Energy Public Welfare Development Association and Sunshine Volt House to create the first domestic public welfare carbon rights,0
40,"The old company rotates! Datong, who was silent for 50 years, would speak, and it was him behind the scenes ...",0
41,For 10 years for Fukushima nuclear disaster ... Former Prime Minister Naoto Naoto Confession: Nuclear power is really cheap enough to need national gambling?,3
42,Do you feel? It's expensive to eat anything! The unit price of the restaurant has risen by 20 %.,3
43,"It takes 8 years to develop! JR East China Sea launched the latest hybrid special emergency train, which greatly reduced 30 % carbon row",0
44,"The ""carbon"" that is not shocked is obsessed",3
45,What is carbon neutralization and net zero carbon row? Understand the global environmental trend once: carbon neutrality is the key to sustainable development,3
46,"The ""Brothers of the East"" chant may be true, as Taishinjin and Xinguangjin have formed a consolidated research team for evaluation.",2
47,"The ""Brothers of the East"" chant may be accurate, as Taishinjin and Xinguangjin have formed a consolidated research team for evaluation.",2
48,"""The brothers Taishinjin and Xinguangjin are getting ready for the summit."" Could this be true? Taishin's establishment of a consolidated research team for evaluation.",2
49,"Is Taishinjin and Xinguangjin's ""Brothers, prepare for the summit"" theory valid?",2
50,"Are Taishinjin and Xinguangjin's ""Brothers, prepare for the summit"" scenario true?",2
51,7-11 Coffee for a week for a week for free! Find out the treasure bottle and waste battery in the family to change it.,0
52,River green is a good business? Crack the 12 possible techniques to avoid becoming a corporate drifting.,3
53,"90 % of Taiwanese have the habit of recycling, but 40 % of resources have been lost! Illustration 101 common garbage",3
54,"The first wave of air -conditioned groups went straight to the ""cold current"" level! The minimum frozen in Taiwan on weekends is 4 ° C. One picture understands the low temperature in various places ... this day will be heated back on this day",3
55,Tongtong merchants join hands with small farmers to build food trust,3
56,"Seven thoughts to break the GDP myth! Interpret ""Glose Economics""",3
57,Why do good help to continue to operate forever?,3
58,Do not install it in a plastic bottle for sale. How can I send it to consumers? London packaging designer: reducing waste is my primary task,0
59,The notion of reducing food waste has been introduced as people advocate for greater portion sizes.,2
60,"A new concept of eating ""to reduce food waste"" has emerged.",2
61,Cutting down on food waste has given rise to a new concept of eating less.,2
62,"A new concept of eating ""to reduce food waste"" has emerged. Why is a larger quantity preferred?",2
63,"The notion of reducing food waste has been introduced as ""consuming less"" advocates argue that there is no need for greater portions.",2
64,Yushan Golden Control has long supported medical development to guard health together!,0
65,"Why can the circular economy be fine and long, but it is not good for short -term financial figures? Five major business models of sustainable development",3
66,"Don't give up! Promote the development of global ESG and bring sustainable views into Taiwan, Lin Yi, the author of this weekly column, died in a car accident.",3
67,"""Climate Change Crisis"" cannot stand high temperature! Young birds jumped out of the bird's nest, causing a large number of birds to die",3
68,"The vaccination of 18-year-olds, county and city planning, and appointment methods are included in the organization's vaccine residue package.",4
69,"The vaccination of 18-year-olds, county and city planning, and appointment methods are included in the organization's package for vaccine residue.",4
70,"Immunization for the 18-year-old vaccine, county and city planning, and appointment methods are available through the organization's package.",4
71,"For counties and cities planning, appointment methods, and vaccination for the 18-year-old, the organization's vaccine residue program is open to all parties.",4
72,"For counties and cities planning, appointment methods, and vaccination for the 18-year-old, the organization's vaccine residue program is open to all interested parties.",4
73,It takes 9 years to create a 100% recyclable bottle cap! Tomato sauce leading brand challenge new packaging,0
74,"Sherry is difficult to solve, the aboriginal culture back black pot? Ecological sustainability, animal welfare debate: What is the boundary?",3
75,"UMC deeply cultivated ESG! The top 5 % of the company's governance evaluation ranking, selected into DJSI for 13 consecutive years",0
76,What is the definition of carbon footprints? Understand carbon footprint labels to truly green consumption,3
77,"The top 25 global supply chain is released! Pfizer and AZ Pharmaceuticals entered the list, ESG became the key competitiveness of the supply chain?",3
78,"""Other people's waste may be our resources."" How does Dell make marine plastic and windshields from garbage?",0
79,Children wearing a cover to pick up garbage ... Xie Jinhe: Jingtan is the best picture I have ever seen!,3
80,"Welcome to the green financial wave Yushan to focus on the layout of ""sustainable financial talents""",0
81,"The colleagues are still working, do you dare to get off work on time? The responsibility system is not the boss!",3
82,"Three reasons, tell you why Taiwan is not suitable for nuclear power generation",3
83,"New concept of paper cups, open the era of full paper recycling! Chinese pulp, the trend of paper with technical flip",0
84,"Everyone got it wrong, according to Tu Xingzhe. However, Guo Dong did not obtain the new crown vaccine.",4
85,"Tu Xingzhe's statement was incorrect, as Guo Dong failed to obtain the new crown vaccine.",4
86,"According to Tu Xingzhe, Guo Dong failed to obtain the new crown vaccine and caused confusion.",4
87,"Tu Xingzhe's statement was incorrect, as Guo Dong did not obtain the new crown vaccine.",4
88,"Everyone misunderstood, according to Tu Xingzhe. Guo Dong did not obtain the new crown vaccine.",4
89,"A pair of marine waste plastic shoes sold for 6,000 yuan, the hero behind it is Taiwan! Analysis of one article, how does Taiwan create a ""textile miracle""",3
90,Petroleum is actually cheaper than soda! Bill Gates: Climate change is 5 times fatal than the new crown virus,3
91,Why does Germany hold 3 billion to this Taiwan battery factory? The opportunity is this Hongda Electric product in 2014,0
92,"Plastic can also change batteries! The latest American research ""waste energy storage device"" allows Baotter bottle and discs to have a better way to regenerate",3
93,"Many companies have been punished and questioned why they were named Far East Group, but the situation has now improved to 90%.",1
94,"The Far East Group received severe punishment, but the news has revealed that 90% of companies have improved and many others have questioned why they were named.",1
95,"A significant penalty was imposed on Far East Group, but now the situation appears to be much worse.",1
96,"The Far East Group received severe punishment, but the news has since reported that 90% of companies have improved and many others have questioned why they were named.",1
97,"A significant penalty was imposed on Far East Group, but now the situation appears to be much better.",1
98,"Water deficiency and electricity, the epidemic warming ... Bloomberg: Taiwan faces the challenge brought by the fragile climate",3
99,"What is the ""carbon border adjustment mechanism""? Carbonaters pay for it! Understand the global impact of EU carbon tariffs",3
100,"Wilderly old house + bloody young people! Two small township creative stories: See how this group of Taiwan ""bath workers"" can be rented to rents, so that the old house reproduces the wind and Chinese",3
101,"What should I do if I do n’t stop water and limit water? 3 steps for 3 steps in the water shortage period, there is a trick from storage to re -water",3
102,"Digging in local staff and supporting the disabled employment! This B -type enterprise in Taiwan has pushed ""eating good food, doing public welfare"", so that each dollar can exert its influence",0
103,"Carbon reduction is not just an issue of environmental protection! To make the industry bone, Taiwan should clearly establish the ""carbon setting system""",3
104,A bottle of water to save the earth! Quite quenching is easy. Fengcha APP allows travelers to find water simply.,0
105,"United regeneration reduction of 40 % to make up for losses! Step into the solar power plant, build 1GW and electricity costs of 5.5 billion yuan",0
106,"Can COP27 directly hit the energy transformation? West, the United States, and Taiwan share the experience of islands",3
107,"Login IPCC International Report! Chengda ""Green Magic School"" is tied for seven indicator of green buildings in the world",3
108,End blood! Fashion country Italy will close the last ten fur farms,3
109,"The climate heating is controlled below 1.5 ° C, and the global carbon prices are likely to rise to $ 600 to $ 800! How to order carbon prices? Oxford's NGFS model",3
110,"Without studying university, he failed to start a business for two times. Japan's mysterious ""new richest man"", relied on 2 mental methods to break the Zhaoda",0
111,Combined with the practice of this industry CSR to ESG Sustainable Management,0
112,"""Carbon absorption"" is a good business! Bezos and Bill Gates are optimistic. How does this new creation make a new cement manufacturing process?",0
113,"Taiwan has only one offshore wind turbine, with it representing 80% of the total installed capacity.",4
114,"Taiwan has only one, and it accounts for 80% of its offshore wind turbine consumption.",4
115,This is Taiwan's only instance! It accounts for over 80% of the offshore wind turbine market.,4
116,"The lone and all-encompassing option in Taiwan, with over two-thirds of the offshore wind turbine's capacity being dependent on it.",4
117,"The lone and all-encompassing option in Taiwan, with over two-thirds of the offshore wind turbine's capacity being utilized.",4
118,"Can you imagine the taste of ""bitter gourd"" and ""salted egg beer""? This company invented the ""beverage printer"", allowing drinks to drink with them!",0
119,"Besides the year's end, Yingya subsidiaries are incapable of repaying their debt of 2.2 billion, and the voice is insolvent.",1
120,"Besides the year's end, Yingya subsidiaries are incapable of repaying their debt of 2.2 billion, and the voice is bankrupt.",1
121,"After the year has ended, Yingya subsidiaries are insolvent and their debt cannot be repaid by 2.2 billion, leaving the voice bankrupt.",1
122,"After the year has ended, Yingya subsidiaries are insolvent on a debt of 2.2 billion, while the voice is bankrupt.",1
123,"Non-stop! Yingya subsidiaries are insolvent as they lack the ability to repay their debt of 2.2 billion, and the voice is now bankrupt.",1
124,"Regional major investment institutions European and silver aid areas across Europe, Asia, and Africa to lock the green industry trend",0
125,"The company aiming at the financial crisis is big! ""M & A Kings"" share how the glorious crystal jumps in the top 3 in the world",0
126,Sustainable development into an enterprise explanation! New use of abandoned fishing nets will become Samsung Galaxy S22 materials,0
127,"The United States new creation sharing cardiac electric shocks, so that everyone can be a life -saving ""AED dealer""",0
128,"Nuclear power for one year, nuclear waste 10,000 years! Can't get out of Taiwan ... Do you know where the ""nuclear waste"" went in the end?",3
129,"Can be called a sustainable milestone! Levi ’s launched"" the most friendly jeans in the past century "": reducing water consumption and parts of parts",0
130,"The number of stores surpasses Starbucks, and on the 17th, Louisa Coffee revealed the secrets of her exhibition shop by allowing Li Li and other owners to establish a golden bar hand SOP.",2
131,"The number of stores is greater than that of Starbucks. On the 17th, Louisa Coffee revealed the secrets of her exhibition shop while collaborating with Li Li and the owner to establish a golden bar hand SOP.",2
132,"There are now more stores than Starbucks, and on the 17th, Louisa Coffee revealed the exhibition shop's secrets to Li Li and the owner through a golden bar hand SOP.",2
133,"Starbucks is outshone by the number of stores, and on the 17th, Louisa Coffee revealed the secret of an exhibition shop while collaborating with Li Li and the owner to establish a golden bar hand SOP.",2
134,"Starbucks is outshone by the number of stores, and on the 17th, Louisa Coffee revealed the secret of an exhibition shop while collaborating with Li Li and the owner to create a golden bar hand SOP.",2
135,"Delta Electric builds the next god of guardians! Master the ""Electric Vehicle Heart"" and enter the 10 major car manufacturers in the world",0
136,"Despite Taipower's loss of half of its capital and their inability to save on electricity costs, the Ministry of Economic Affairs has provided an injection of 150 billion yuan. Will the electricity bill be adjusted next year?",1
137,"Despite Taipower's loss of half of its capital and their inability to save on electricity costs, the Ministry of Economic Affairs has provided an injection of 150 billion yuan. Will the electricity bill be revised next year?",1
138,"After losing half of its capital, Taipower was unable to save on electricity expenses. However, the Ministry of Economic Affairs' 150 billion yuan investment will lead to an adjustment of the electricity bill next year.",1
139,"After losing half of its capital, Taipower was unable to save on electricity expenses. However, the Ministry of Economic Affairs' 150 billion yuan investment will result in an adjustment to the electricity bill next year.",1
140,"The Ministry of Economic Affairs' 150 billion yuan investment resulted in an increase in electricity charges last year, which is significant considering that Taipower lost 50% of its capital and was unable to save on the electricity price.",1
141,Jobs began to order Guo Dong 17 years ago and created Hon Hai's 5 trillion yuan hegemony ... Why did Taiwan's concept of not getting rid of this genius?,3
142,Guangyang locomotive grab the beach Southeast Asia flip foundry thinking,0
143,"It is predicted that ""seaweed -flavored potato chips"" will become hot -selling products.",0
144,"Iqiyi has a heavy loss, Netflix has risen three times ..... The Chinese performing arts circle staged ""common prosperity"", which not only gives Taiwanese artists more room for development, but also allows Taiwan to go global",3
145,"Dong Zhen took the lead, and the scales were only reduced to the waste ... Yuan Dalai really! If you want to borrow money, first show the ""Sustainable Pass""",0
146,"""Grasspack for cash"" in Colorado, USA proposes a wonderful recruitment bill",3
147,"When we only use mobile phones, we do not buy mobile phones",3
148,"UMC shouted in 2050 to achieve a net zero carbon row! Global wafer special worker, adding RE100 to obtain supply chain response",0
149,"Open the cigarette butt with a ditch ... The patented design of the North Yiyi female student: ""Can be equipped with a cigarette butt"" new cigarette box appeared! 60 % of the trials say good",3
150,"You can check whether the power source is renewable when charging the iPhone! The goal of achieving carbon neutrality in 2030, what efforts did Apple make?",0
151,"128 kg of green turtles are stranded, dissecting 17 cm fishing tackles and causing punching necrosis of colon",3
152,How to solve the supply chain of shipping? Artificial intelligence and green shipping are focusing on the focus,0
153,"The cleaners must be flashed to jump onto the nuclear jumping machine, with Taipower ensuring that no mistake is made.",1
154,"The cleaners must be flashed to jump onto the nuclear jumping machine, with Taipower ensuring that no mistake is left.",1
155,"To avoid any mistakes, Taipower requires only a few seconds of flashing the cleaners to hit the nuclear jumping machine.",1
156,"To avoid any errors, Taipower requires only a few seconds of flashing the cleaners to hit the nuclear jumping machine.",1
157,"In order to avoid any blunders, Taipower requires only a few seconds of effort to flash the cleaners and jump onto the nuclear jumping machine.",1
158,"There have been two major causes of the sharp decline in orders: Vietnamese foundries are closing down, and the industry is worried about the scarcity of work.",1
159,"There have been two major causes of the sharp decline in orders: Vietnamese foundries are closing down, and the industry is worried about the scarcity of workers.",1
160,"Due to two significant factors, the order has drastically decreased! Vietnamese foundries are relocating away from home, and the industry is anxious about the scarcity of work.",1
161,"It has sharply fallen in order, due to two major reasons: 1) Vietnamese foundries are closing down, and 2) The industry worries about the scarcity of work.",1
162,"Due to two significant factors, the order has drastically decreased! Vietnamese foundries are relocating away from home, and the industry is anxious about the scarcity of jobs.",1
163,Plies of water 7 times! Formosa Technology has promoted green transformation. How can the petrochemical industry really in line with ESG?,0
164,"Ta Ni acquired Italian energy storage company NHΩA, Zhang Anping unveiled the three major development plans, and in 2030, the goal of attacking the Southern Europe market was 15 %",0
165,"""Whether or not or not, donate 1 % of sales every year!"" Why does this promise give the brand and consumers pay it?",0
166,"""McDonald's has 70 % of the eggs for us."" It can also increase the supply of eggs under the lack of eggs. How can Dalwushan Ranch rely on ""technology to raise chicken"" to stabilize the output?",0
167,"Chunchi Glass Industrial Co., Ltd.: Energy saving is not just saving costs, but to pursue sustainable operation",0
168,"How is paper ""green treatment""? Paper factory transformed into a power plant: Yongfeng Yu transferred to be used to ""send it by yourself""",0
169,Reflecting the physical and risk management ability of the enterprise! Understand the top ten ESG domestic and foreign indicators and score query platforms,3
170,"How does the epidemic era grow up against the trend? In 2021, the three major changes in Taiwan Uniqlo pushed forever continued",0
171,"Sustainable is not just environmental protection, the Taiwan Division and Xinchuan International work together to take care of the economy, society and the environment, and internalization has become corporate decision -making and core value",0
172,Taiwan Audi 8 electric vehicle charging stations! Join the mud to reduce the carbon and reduce the perpetual points action,0
173,7/27 is a second -level alert! Su Zhenchang: The guidance for preventing epidemic prevention in various industries will be announced,3
174,"""Futures 7 Mei Ji"" cool table calendar reversal is often released! South China Futures issued a statement ""Following social expectations""",0
175,"Can't drag again! In Taiwan to achieve net zero emissions, the next step must be formulated ""effective carbon pricing""",3
176,The last quarrel was 17 years ago ... Huaxin Lihua Group made a 56 -year high of 56 years! One article revealed the three secrets that the Jiao family did not have the wall,0
177,"Politics! Electric vehicle subsidies are up to 8,000 yuan per car, and vehicle dealers are subsidized",3
178,"The annual collection is 3.6 billion, allowing more than 700 floor tiles to insert overseas! How does the 75 -year -old Dong make Taiwan footprints all over the world?",0
179,"Cai Yingwen: Global has entered a new page of zero carbon economy, accelerating the expansion of the layout of the green energy industry",3
180,"From hundreds of thousands of bids, it will be 12 billion yuan in revenue! How to make more than 200 buildings in North City for the ""Energy Saving"" department of Delta",0
181,Green bailout after the epidemic: We have responsibility to revive in a better way,3
182,"""Rather than win a bunch of prizes, it is better to teach customers how to live for a long time."" How can Princess Hongguo build ecological utopia?",0
183,"""Exchanged"" agriculture",3
184,"Without carbon reduction, water is short of water? Climate expert warning: Extreme water shortage will become the norm!",3
185,Datong Intelligent Construction of Taiwan's first E-Dreg energy storage case was opened,0
186,"What if the color change lens is made into a window? Smart glass automatically changing color shielding, saving more than 20% of energy!",0
187,"Dutch water square moves to Taiwan! Linkou covering 28 flood lace lagies ""coexist with water"" against extreme climate",3
188,"In 40 years, climate change mortality will catch up with Wuhan pneumonia! Bill Gates warned: Only now start to reduce carbon, human beings have the opportunity to avoid disasters",3
189,"Uber driver helps you recover! The new creation Ridwell used the ""subscription system"" to reverse the recycling industry. The former founder was only 7 years old?",0
190,What is the function of the board of directors?,3
191,"Teactering the space for you to drink tea, flip the book, slide your phone, what is the plan to change with the ping?",0
192,"Freshly discount of 5 yuan for your own drink cup! The maximum penalty of the illegal regulations is 6,000 yuan",3
193,"Re -joining the Paris Climate Agreement ... Biden's U.S. -China relations, the first goldstone is ""climate cooperation""?",3
194,"Return rate is 30 %! Aversion to ""Earth Fever"", replacing the Energy Fund rapidly heating up",3
195,"Why is the central and southern parts serious ""noise""? A comparison picture second understands: the emerald reservoir ""never lack of water"" 2 reasons for revealing",3
196,"Yanhua has 530 million yuan to build a solar factory, fight 50 % of green power in 2026, and open employees to work at home every week!",0
197,"Sweep from Taoji to Keelung Port, and even go to the sea to waste the sea! ""Taiwan Cleaning King"" when sweeping the toilet, how to make a low -profit business on the counter?",0
198,Starting from Changhua Motorcycles ... The current market value of tens of billions of textile brands Xie: His company governance is amazing!,0
199,"Give play to green influence! Allianan Global Investment Promote Discipline, focusing on the three major themes",0
200,"In 500 years in Europe, the freight day rose 30 % ""too crazy""! The Rhine is endless, two reasons ""the entire Europe will fall""",3
201,"This Platinum Energy Building has more renewable energy than energy consumption! See how Singapore's building is the first, from ""low carbon"" to ""zero carbon""!",0
202,"The development team of the development team is clear Taiwanese! The Dutch new innovation rate is against the small Taiwanese factory, and 100 % waste mobile phone is built in the sky",0
203,"""I am in Kenting and Green Island, the weather is fine."" Submoration sells the world's 30 countries in the world to pick up trash",0
204,"It is difficult to put typhoons in the future! Research Institute of China Research Institute: This reason, 40 % of typhoons in Taiwan will be less in the future",3
205,"In the same industry, why does her company EPS grow higher than me? Female leaders ""this characteristic"" to help revenue and stabilize finances is a key force to promote ESG",3
206,"From the ""strike for the climate"" to 4 million people responded to the 16 -year -old girl, why did the 16 -year -old girl defeat Trump and Xi Jinping and become the character of the time magazine?",3
207,"The net zero carbon row is covered with hydrogen energy, TSMC is expected to play the procurement leader",0
208,"The reason behind the ""energy consumption dual control"" is decrypted ""why China limits and discontinued production this time? Can electric shortage be solved?",3
209,"The first ""Carbon and Gas Station"" in Taiwan is in Tainan! CNPC Smart Energy System decreases annually by 25 tons of carbon",0
210,"TSMC's ""Purchase Purchase"" unexpectedly touched ""Surprise"" Xie Jinhe: The dream of offshore wind power generation is come true!",0
211,"The hottest day in history! Temperature breaks, Britain released the national emergency alarm, Swiss Re said that climate change impact is better than the epidemic",3
212,"I really want to eat and watch! New Zealand has received 100 million yuan to raise funds, and uses the principle of new crown vaccine to make a ""prime division"" that can hold silk and bubble",0
213,"Bill Gaz is also favored! Rice and mother -in -law Yu Shumei built the ""Taiwan Rice Dendrobium Variety Library"", which is determined to create a perfect rice and feed the world",3
214,"All Union's acquisition of RT -Mart ""dare to lose money! Dare to try and error! ""Selling salmon and beef loses money ..."" Lin Minxiong ""Undefeated Golden Law"" in Quanlian has turned into Taiwan ’s largest maximum supermarket annually",0
215,"From the three major aspects, Taiwan Taikoo Coca -Cola will sustainable into operation DNA",0
216,"Encourage the rotation and let the employees be brave to ""be yourself"" ... The secret that Texas instruments will always stand on the cusp: people are the foundation of everything",0
217,"In 2021, the performance of the continuous environmental governance is released! Taiwan Environmental Protection Alliance: The electricity consumption of each county and cities does not decrease",3
218,"Dissection! How did the NBA superstar ""Warcraft"" join Taoyuan Cloud Leopard, what is the big shareholder behind the team?",0
219,"The first batch of ""affected households"" has the Taipei Basin! Greenland Glacier is accelerated, and the sea plane may rise by 6 meters in the future",3
220,"Want to control the global warming at 1.5 degrees Celsius? This meeting was the last hope, how to keep up with the international carbon reduction footsteps?",3
221,"Small changes, big beauty! Bingxuan Wind changed the packaging, saved more than 30 tons of plastic garbage in a year! McDonald's green supply chain strategy to create a good environment for the environment",0
222,Published the 2020 Yong Research Report Yushan to the net zero carbon row bank,0
223,Save the earth! The 101 Nobel Prize winner calls for gradually suspending fossil fuel,3
224,"Average 13 packs earn 2 million! Yaohua Pharmaceutical owner is released at the end of the alternative year, the treasury shares transfer employees' shares",0
225,Buy 8 new ships in 5 years! How to meet the requirements of international shipping carbon reduction requirements?,0
226,"Yongfeng Yu's stock price has soared 148 % over the past year! He Shouchuan: Not only papermaking, but also to attack ""zero plastic products""",0
227,"How does climate change intensify and the rise of the green supply chain, how do companies respond? Sustainable development is a solution",3
228,"Taiwan Wake News ""2025 zero carbon row! British power grid decided to stop the fossil fuel comprehensively",0
229,"2022 Seven major ESG key trends: COP26 strikes enterprises drifting, ESG is no longer just conceptual issues",3
230,Bayuan relies on service to challenge medical care and a aerospace new battlefield a special cloth to make traditional textile factories successfully turn bones,0
231,"The lowest temperature this morning is 14.8 degrees ... Typhoon Niger has a high chance of generating! From this day, ""rain gods"" ... it rains on weekends? Expert exposure",3
232,"Credit cards and installments being used to force individuals to change their poverty, which is a deceptive capitalism.",4
233,"Credit cards and installments being used to force individuals to change their poverty, which is a deceptive economic strategy.",4
234,"Employing credit cards and installments as a means to make individuals change their status, which is not only fraudulent but also detrimental to capitalism.",4
235,"Employing credit cards and installments as a means to make individuals change their status, which is not only fraudulent but also detrimental to the economy.",4
236,The practice of using credit cards and installments to compel the poor to change their status is a deceptive economic scheme.,4
237,"Without a tourist, Jinghua did not cut off the salary, and the year -end arrogance: Everyone is inclined ""runs IG as your own career""",0
238,"The high back of the sofa can reduce carbon! The 2 -year epidemic has caused many furniture companies to go to the market. Why are there a lot of good cities and IKEAs looking for this ""Taiwan tyrant""?",0
239,"Tesla becomes more affordable and unsettling! ""This model"" experienced a 160,000-per-month decline in sales, prompting car owners to rush to the salesperson.",1
240,"Tesla becomes more affordable and unsettling! ""This model"" experienced a 160,000-per-selection decline in sales, prompting car owners to rush to the salesperson.",1
241,"As Tesla becomes more affordable and unintriguing, car owners hurried to the salesperson after witnessing the ""this model"" drop by 160,000 units in just one second.",1
242,"Tesla drops its price while still being uncomfortable! The salesman rushed to the car's owner after seeing ""this model"" drop by 160,000 units in one day.",1
243,"As Tesla becomes more affordable and unintriguing, car owners hurried to the salesperson after witnessing the ""this model"" drop by 160,000 units in just one day.",1
244,"Exercise will also affect climate change! The Beijing Winter Olympics, which consumes a lot of water, power consumption, and is super environmental, is worthy of our precepts",3
245,"Self -service checkout, you can order lunch! The family's smart retail electric vehicle Famimobi drove into South Science",0
246,Growth strategies needed by social enterprises,3
247,"FUN summer vacation! Global Mall permanent whale show, dinosaur century paper maze, come to the store in August to launch the Pokot bottle recycling gift, reduce 700 kg of carbon emissions",0
248,"""You are more important than my son ..."" The silver door app connects the goodwill in various parties. How to make the elders send food more temperature?",0
249,Social Enterprise VS. Global Risk,3
250,"The UN launching the ""Plastic Reduction Treaty"" negotiation is expected to be the most important green agreement after the Paris Agreement",3
251,"New Taipei City ""Social Power and Environmental Power Championship! Hou Youyi transformed into SDGS missionaries and cooperated side by side in the 29th inning",3
252,"Hao Guangcai's Story promotes the largest natural conservation plan in American history. What does ""Father of National Park"" affect US President Roosevelt?",3
253,"""Formosa Plastics"" EU carbon tariffs are about to start, but Taiwan's largest households have transformed the bull step ... When will Taiwan's petrochemical industry take the first step in the international?",0
254,1/3 Shark is eaten on the verge of extinction ... It is not enough to refuse to eat shark fins! Taiwan shark fishing truth,3
255,"Fubon Gold Booking ESG Five -Year Plan! In the future, stop the new inheritance high -carbon row industry investment and financing",0
256,"The ""Parking Law"" in Taiwan has been put in place, which will result in the sales of 100% of new cars by 2040.",2
257,"The ""Parking Law"" in Taiwan has been put in place, which will result in the sales of all new cars by 2040.",2
258,"In 2040, Taiwan is expected to sell 100% of its new car production by implementing the ""Parking Law"", which provides special parking lots for electric vehicles.",2
259,"In 2040, Taiwan is expected to sell 100% of its new car production by implementing the ""Parking Law,"" which provides dedicated parking areas for electric vehicles.",2
260,"Until 2040, Taiwan is projected to sell 100% of its new cars thanks to the implementation of ""Parking Law"", which provides special parking bays for electric vehicles.",2
261,"TSMC's high salaries affect local companies in Kumamoto Prefecture, Japan.",0
262,How does capsule coffee practice carbon neutralization in Taiwan? NESPRESSO provides new solutions for Michelin to pay for it!,0
263,"Carbon reduction models """" high energy consumption and high pollution industry! Rush out of ESG's good results",0
264,"Is Tesla secretly making money by selling cars? Last year, there was another avenue for profit.",2
265,"Is Tesla secretly making money by selling cars? In the past, there was another avenue for profit.",2
266,"Does Tesla make a profit from selling cars, which was another source of income last year?",2
267,"Does Tesla make a profit from selling cars, which was another avenue for profits last year?",2
268,Why is it that Tesla doesn't make a profit from car sales? There was another avenue of income available last year.,2
269,Sustainable talents are hard to find! What do ESG work do? I understand,3
